Time resolution is 1 ps
WARNING: File C:/Users/reese/Documents/GitHub/ARM-Lab/ARM-Lab/testfiles/instrData.data referenced on C:/Users/reese_ford1/Documents/GitHub/ARM-Lab/ARM-Lab/code/1_fetch/instr_mem.v at line 22 cannot be opened for reading. Please ensure that this file is available in the current working directory.
WARNING: File C:/Users/reese/Documents/GitHub/ARM-Lab/ARM-Lab/testfiles/regData.data referenced on C:/Users/reese_ford1/Documents/GitHub/ARM-Lab/ARM-Lab/code/2_decode/regfile.v at line 39 cannot be opened for reading. Please ensure that this file is available in the current working directory.
WARNING: File C:/Users/reese/Documents/GitHub/ARM-Lab/ARM-Lab/testfiles/ramData.data referenced on C:/Users/reese_ford1/Documents/GitHub/ARM-Lab/ARM-Lab/code/4_memory/iMemory.v at line 45 cannot be opened for reading. Please ensure that this file is available in the current working directory.

******* BEGIN TEST RESULTS *******

Test Case 1: | LDUR X9, [X22, #64]
+++ Step 1: Pass: |cur_pc| time = 10 ns | er = 0 | ar = 0 | er_bits = 64 | ar_bits = 64 +++
--- Step 2: Fail: |instruction| time = 10 ns | er = f84402c9 | ar = 0 | er_bits = 32 | ar_bits = 32 ---
--- Step 3: Fail: |opcode| time = 10 ns | er = 11111000010 | ar = 0 | er_bits = 11 | ar_bits = 11 ---
--- Step 4: Fail: |sign_extended_output| time = 10 ns | er = 40 | ar = 0 | er_bits = 64 | ar_bits = 64 ---
+++ Step 5: Pass: |reg2_loc| time = 10 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
+++ Step 6: Pass: |uncondbranch| time = 10 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
+++ Step 7: Pass: |branch| time = 10 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
--- Step 8: Fail: |mem_read| time = 10 ns | er = 1 | ar = 0 | er_bits = 1 | ar_bits = 1 ---
--- Step 9: Fail: |mem_to_reg| time = 10 ns | er = 1 | ar = 0 | er_bits = 1 | ar_bits = 1 ---
+++ Step 10: Pass: |alu_op| time = 10 ns | er = 0 | ar = 0 | er_bits = 2 | ar_bits = 2 +++
+++ Step 11: Pass: |mem_write| time = 10 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
--- Step 12: Fail: |alu_src| time = 10 ns | er = 1 | ar = 0 | er_bits = 1 | ar_bits = 1 ---
--- Step 13: Fail: |reg_write| time = 10 ns | er = 1 | ar = 0 | er_bits = 1 | ar_bits = 1 ---
--- Step 14: Fail: |read_data1| time = 10 ns | er = 16 | ar = 0 | er_bits = 64 | ar_bits = 64 ---
--- Step 15: Fail: |alu_result| time = 10 ns | er = 80 | ar = 0 | er_bits = 64 | ar_bits = 64 ---
+++ Step 16: Pass: |zero| time = 10 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
--- Step 17: Fail: |mem_read_data| time = 10 ns | er = 20 | ar = 0 | er_bits = 64 | ar_bits = 64 ---
--- Step 18: Fail: |write_data| time = 10 ns | er = 20 | ar = 0 | er_bits = 64 | ar_bits = 64 ---
Test Case 2: | ADD X10, X19, X9
--- Step 1: Fail: |cur_pc| time = 15 ns | er = 4 | ar = 0 | er_bits = 64 | ar_bits = 64 ---
--- Step 2: Fail: |instruction| time = 15 ns | er = 8b09026a | ar = 0 | er_bits = 32 | ar_bits = 32 ---
--- Step 3: Fail: |opcode| time = 15 ns | er = 10001011000 | ar = 0 | er_bits = 11 | ar_bits = 11 ---
+++ Step 4: Pass: |reg2_loc| time = 15 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
+++ Step 5: Pass: |uncondbranch| time = 15 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
+++ Step 6: Pass: |branch| time = 15 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
+++ Step 7: Pass: |mem_read| time = 15 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
+++ Step 8: Pass: |mem_to_reg| time = 15 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
--- Step 9: Fail: |alu_op| time = 15 ns | er = 10 | ar = 0 | er_bits = 2 | ar_bits = 2 ---
+++ Step 10: Pass: |mem_write| time = 15 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
+++ Step 11: Pass: |alu_src| time = 15 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
--- Step 12: Fail: |reg_write| time = 15 ns | er = 1 | ar = 0 | er_bits = 1 | ar_bits = 1 ---
--- Step 13: Fail: |read_data1| time = 15 ns | er = 10 | ar = 0 | er_bits = 64 | ar_bits = 64 ---
--- Step 14: Fail: |read_data2| time = 15 ns | er = 20 | ar = 0 | er_bits = 64 | ar_bits = 64 ---
--- Step 15: Fail: |alu_result| time = 15 ns | er = 30 | ar = 0 | er_bits = 64 | ar_bits = 64 ---
+++ Step 16: Pass: |zero| time = 15 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
Test Case 3: | SUB X11, X20, X10
--- Step 1: Fail: |cur_pc| time = 25 ns | er = 8 | ar = 4 | er_bits = 64 | ar_bits = 64 ---
--- Step 2: Fail: |instruction| time = 25 ns | er = cb0a028b | ar = 0 | er_bits = 32 | ar_bits = 32 ---
--- Step 3: Fail: |opcode| time = 25 ns | er = 11001011000 | ar = 0 | er_bits = 11 | ar_bits = 11 ---
+++ Step 4: Pass: |reg2_loc| time = 25 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
+++ Step 5: Pass: |uncondbranch| time = 25 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
+++ Step 6: Pass: |branch| time = 25 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
+++ Step 7: Pass: |mem_read| time = 25 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
+++ Step 8: Pass: |mem_to_reg| time = 25 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
--- Step 9: Fail: |alu_op| time = 25 ns | er = 10 | ar = 0 | er_bits = 2 | ar_bits = 2 ---
+++ Step 10: Pass: |mem_write| time = 25 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
+++ Step 11: Pass: |alu_src| time = 25 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
--- Step 12: Fail: |reg_write| time = 25 ns | er = 1 | ar = 0 | er_bits = 1 | ar_bits = 1 ---
--- Step 13: Fail: |read_data1| time = 25 ns | er = 30 | ar = 0 | er_bits = 64 | ar_bits = 64 ---
--- Step 14: Fail: |read_data2| time = 25 ns | er = 30 | ar = 0 | er_bits = 64 | ar_bits = 64 ---
+++ Step 15: Pass: |alu_result| time = 25 ns | er = 0 | ar = 0 | er_bits = 64 | ar_bits = 64 +++
--- Step 16: Fail: |zero| time = 25 ns | er = 1 | ar = 0 | er_bits = 1 | ar_bits = 1 ---
Test Case 4: | STUR X11, [X22, #96]
--- Step 1: Fail: |cur_pc| time = 35 ns | er = 12 | ar = 8 | er_bits = 64 | ar_bits = 64 ---
--- Step 2: Fail: |instruction| time = 35 ns | er = f80602cb | ar = 0 | er_bits = 32 | ar_bits = 32 ---
--- Step 3: Fail: |opcode| time = 35 ns | er = 11111000000 | ar = 0 | er_bits = 11 | ar_bits = 11 ---
--- Step 4: Fail: |sign_extended_output| time = 35 ns | er = 60 | ar = 0 | er_bits = 64 | ar_bits = 64 ---
--- Step 5: Fail: |reg2_loc| time = 35 ns | er = 1 | ar = 0 | er_bits = 1 | ar_bits = 1 ---
+++ Step 6: Pass: |uncondbranch| time = 35 ns | er = 0 | ar = 0 | er_bits = 1 | ar_bits = 1 +++
